Model,Scenario,Region,Variable,Unit,1990,1995,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2020,2021,2022,2023,2024,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Demand|Crops,million t DM/yr,,,,,,,,,,,,,28.6284,,,,,28.6284,28.6284,,,,,,28.6284,,28.6284,,78.39890635,,347.0972508,,699.5134751,,840.5065965,,1006.407342,,1078.332617
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Demand|Crops|Energy|1st generation,million t DM/yr,,,,,,,,,,,,,28.6284,,,,,28.6284,28.6284,,,,,,28.6284,,28.6284,,28.6284,,28.6284,,28.6284,,28.6284,,28.6284,,28.6284
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Demand|Crops|Energy|2nd generation,million t DM/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0,,49.77050635,,318.4688508,,670.8850751,,811.8781965,,977.7789416,,1049.704217
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Demand|Livestock|Food,million t DM/yr,,,,,,,,,,,,,82.583,,,,,93.1715,103.7601,,,,,,113.378037,,117.3251235,,117.6968891,,119.362628,,115.7732094,,113.164035,,110.6365085,,107.095245
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Demand|Livestock|Other,million t DM/yr,,,,,,,,,,,,,5.7156,,,,,6.6951,7.6748,,,,,,9.758588331,,10.96484151,,11.80060312,,12.33748264,,11.99649977,,11.53543391,,11.01668309,,10.3989867
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Production,million t DM/yr,,,,,,,,,,,,,1483.6911,,,,,1593.0231,1702.3551,,,,,,1971.002281,,2029.538131,,2102.163141,,2365.023321,,2666.074329,,2748.694171,,2855.727122,,2864.17493
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Production|Energy,million t DM/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0,,49.77050635,,318.4688508,,670.8850751,,811.8781965,,977.7789416,,1049.704217
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Production|Energy|Crops,million t DM/yr,,,,,,,,,,,,,0,,,,,0,0,,,,,,0,,0,,49.77050635,,318.4688508,,670.8850751,,811.8781965,,977.7789416,,1049.704217
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Production|Non-Energy,million t DM/yr,,,,,,,,,,,,,1483.6911,,,,,1593.0231,1702.3551,,,,,,1971.002281,,2029.538131,,2052.392634,,2046.55447,,1995.189253,,1936.815974,,1877.94818,,1814.470713
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,R5ASIA,Agricultural Production|Non-Energy|Crops,million t DM/yr,,,,,,,,,,,,,1397.6234,,,,,1495.7487,1593.8741,,,,,,1857.930081,,1912.038198,,1932.61855,,1923.203261,,1873.879872,,1817.528031,,1760.558832,,1699.746868
